"","country","happiness_index","sd_ladder","positive_affect","negative_effect","social_support","freedom","corruption","generosity","log_gdp","life_expectancy","region","population","area_sq_ft","population_density","coastline","net_migration","infant_mortality","gdp_capita","literacy","phones","arable_land","crops_land","other_land","climate","birthrate","deathrate","agriculture","industry","service"
"83","Mauritania",122,68,94,58,99,151,67,148,117,120,"SUB-SAHARAN AFRICA                 ",3177388,1030700,"3,1","0,07","0","70,89",1800,"41,7","12,9","0,48","0,01","99,51","1","40,99","12,16","0,25","0,29","0,46"
"84","Mauritius",57,94,55,16,54,40,96,37,53,73,"SUB-SAHARAN AFRICA                 ",1240827,2040,"608,3","8,68","-0,9","15,03",11400,"85,6","289,3","49,26","2,96","47,78","2","15,43","6,86","0,059","0,298","0,643"
"85","Mexico",23,76,6,40,67,71,87,120,57,46,"LATIN AMER. & CARIB    ",107449525,1972550,"54,5","0,47","-4,87","20,91",9000,"92,2","181,6","12,99","1,31","85,7","2","20,69","4,74","0,038","0,259","0,702"
"86","Moldova",71,45,133,67,65,128,148,86,109,86,"C.W. OF IND. STATES ",4466706,33843,"132,0","0,00","-0,26","40,42",1800,"99,1","208,1","55,3","10,79","33,91","1","15,7","12,64","0,213","0,233","0,555"
"87","Mongolia",83,48,95,17,10,112,119,38,80,97,"ASIA (EX. NEAR EAST)         ",2832224,1564116,"1,8","0,00","0","53,79",1800,"97,8","55,1","0,77","0","99,23","1","21,59","6,95","0,206","0,214","0,58"
"88","Morocco",89,101,110,91,139,76,84,154,98,79,"NORTHERN AFRICA                    ",33241259,446550,"74,4","0,41","-0,98","41,62",4000,"51,7","40,4","19,61","2,17","78,22","1","21,98","5,58","0,217","0,357","0,426"
"89","Mozambique",123,154,108,131,122,46,40,121,146,134,"SUB-SAHARAN AFRICA                 ",19686505,801590,"24,6","0,31","0","130,79",1200,"47,8","3,5","5,1","0,3","94,6","2","35,18","21,35","0,262","0,348","0,39"
"90","Namibia",113,106,75,59,70,82,98,142,89,122,"SUB-SAHARAN AFRICA                 ",2044147,825418,"2,5","0,19","0","48,98",7200,"84,0","62,6","0,99","0","99,01","1","24,32","18,86","0,097","0,315","0,588"
"91","Nepal",100,128,137,134,87,67,65,46,127,95,"ASIA (EX. NEAR EAST)         ",28287147,147181,"192,2","0,00","0","66,98",1400,"45,2","15,9","21,68","0,64","77,68","1","30,98","9,31","0,38","0,21","0,41"
"92","Netherlands",5,1,12,25,15,19,12,7,12,18,"WESTERN EUROPE                     ",16491461,41526,"397,1","1,09","2,91","5,04",28600,"99,0","460,8","26,71","0,97","72,32","3","10,9","8,68","0,021","0,244","0,736"
"93","New Zealand",8,15,22,12,5,8,5,8,26,14,"OCEANIA                            ",4076140,268680,"15,2","5,63","4,05","5,85",21600,"99,0","441,7","5,6","6,99","87,41","3","13,76","7,53","0,043","0,273","0,684"
"94","Nicaragua",45,133,31,125,66,70,43,71,108,53,"LATIN AMER. & CARIB    ",5570129,129494,"43,0","0,70","-1,22","29,11",2300,"67,5","39,7","15,94","1,94","82,12","2","24,51","4,45","0,165","0,275","0,56"
"95","Niger",114,144,79,141,140,111,51,135,148,138,"SUB-SAHARAN AFRICA                 ",12525094,1267000,"9,9","0,00","-0,67","121,69",800,"17,6","1,9","3,54","0,01","96,45","1","50,73","20,91","0,39","0,17","0,44"
"96","Nigeria",85,130,61,55,111,75,114,59,107,145,"SUB-SAHARAN AFRICA                 ",131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","2","40,43","16,94","0,269","0,487","0,244"
"97","Norway",3,8,16,29,3,3,8,11,7,12,"WESTERN EUROPE                     ",4610820,323802,"14,2","7,77","1,74","3,7",37800,"100,0","461,7","2,87","0","97,13","3","11,46","9,4","0,021","0,415","0,564"
"98","Pakistan",67,53,130,111,130,114,55,58,110,114,"ASIA (EX. NEAR EAST)         ",165803560,803940,"206,2","0,13","-2,77","72,44",2100,"45,7","31,8","27,87","0,87","71,26","1","29,74","8,23","0,216","0,251","0,533"
"99","Panama",31,121,7,48,41,32,104,88,51,33,"LATIN AMER. & CARIB    ",3191319,78200,"40,8","3,18","-0,91","20,47",6300,"92,6","137,9","7,36","1,98","90,66","2","21,74","5,36","0,068","0,156","0,776"
"100","Paraguay",63,90,1,39,30,34,76,67,90,81,"LATIN AMER. & CARIB    ",6506464,406750,"16,0","0,00","-0,08","25,63",4700,"94,0","49,2","7,6","0,23","92,17","2","29,1","4,49","0,224","0,207","0,569"
"101","Peru",65,114,36,127,77,61,132,126,76,47,"LATIN AMER. & CARIB    ",28302603,1285220,"22,0","0,19","-1,05","31,94",5100,"90,9","79,5","2,89","0,4","96,71","2","20,48","6,23","0,08","0,27","0,65"
"102","Philippines",69,119,42,116,75,15,49,115,97,99,"ASIA (EX. NEAR EAST)         ",89468677,300000,"298,2","12,10","-1,5","23,51",4600,"92,6","38,4","18,95","16,77","64,28","2","24,89","5,41","0,144","0,326","0,53"
"103","Poland",40,28,76,33,44,52,108,77,41,36,"EASTERN EUROPE                     ",38536869,312685,"123,3","0,16","-0,49","8,51",11100,"99,8","306,3","45,91","1,12","52,97","3","9,85","9,89","0,05","0,311","0,64"
