"","country","happiness_index","sd_ladder","positive_affect","negative_effect","social_support","freedom","corruption","generosity","log_gdp","life_expectancy","region","population","area_sq_ft","population_density","coastline","net_migration","infant_mortality","gdp_capita","literacy","phones","arable_land","crops_land","other_land","climate","birthrate","deathrate","agriculture","industry","service"
"25","Chile",26,61,15,78,58,98,99,45,49,30,"LATIN AMER. & CARIB    ",16134219,756950,"21,3","0,85","0","8,8",9900,"96,2","213,0","2,65","0,42","96,93","3","15,23","5,81","0,06","0,493","0,447"
"26","China",93,72,21,11,108,31,0,133,68,34,"ASIA (EX. NEAR EAST)         ",1313973713,9596960,"136,9","0,15","-0,4","24,18",5000,"90,9","266,7","15,4","1,25","83,35","2","13,25","6,97","0,125","0,473","0,403"
"27","Colombia",43,120,30,88,52,56,124,111,74,51,"LATIN AMER. & CARIB    ",43593035,1138910,"38,3","0,28","-0,31","20,97",6300,"92,5","176,2","2,42","1,67","95,91","2","20,48","5,58","0,125","0,342","0,533"
"28","Comoros",142,143,67,114,143,148,81,62,143,117,"SUB-SAHARAN AFRICA                 ",690948,2170,"318,4","15,67","0","74,93",700,"56,5","24,5","35,87","23,32","40,81","2","36,93","8,2","0,4","0,04","0,56"
"29","Costa Rica",12,62,4,87,42,16,58,75,67,28,"LATIN AMER. & CARIB    ",4075261,51100,"79,8","2,52","0,51","9,95",9100,"96,0","340,7","4,41","5,88","89,71","2","18,32","4,36","0,088","0,299","0,614"
"30","Croatia",75,29,122,101,79,118,139,81,50,32,"EASTERN EUROPE                     ",4494749,56542,"79,5","10,32","1,58","6,84",10600,"98,5","420,4","26,09","2,27","71,65","1","9,61","11,48","0,07","0,308","0,622"
"31","Cyprus",49,95,60,99,90,81,115,39,33,6,"NEAR EAST                          ",784301,9250,"84,8","7,01","0,43","7,18",19200,"97,6","","7,79","4,44","87,77","3","12,56","7,68","0,037","0,198","0,765"
"32","Czech Republic",20,20,74,22,24,58,121,117,32,31,"EASTERN EUROPE                     ",10235455,78866,"129,8","0,00","0,97","3,93",15700,"99,9","314,3","39,8","3,05","57,15","3","9,02","10,59","0,034","0,393","0,573"
"33","Denmark",2,13,24,26,4,6,3,22,14,23,"WESTERN EUROPE                     ",5450661,43094,"126,5","16,97","2,48","4,56",31100,"100,0","614,6","54,02","0,19","45,79","3","11,13","10,36","0,018","0,246","0,735"
"34","Dominican Republic",77,155,66,77,55,43,52,93,69,80,"LATIN AMER. & CARIB    ",9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","22,65","10,33","67,02","2","23,22","5,73","0,112","0,306","0,582"
"35","Ecuador",50,113,11,113,71,42,68,95,86,45,"LATIN AMER. & CARIB    ",13547510,283560,"47,8","0,79","-8,58","23,66",3300,"92,5","125,6","5,85","4,93","89,22","2","22,29","4,23","0,07","0,312","0,618"
"36","Egypt",137,66,146,124,118,129,89,132,85,101,"NORTHERN AFRICA                    ",78887007,1001450,"78,8","0,24","-0,22","32,59",4000,"57,7","131,8","2,87","0,48","96,65","1","22,94","5,23","0,149","0,357","0,493"
"37","El Salvador",35,112,23,84,83,74,85,134,100,75,"LATIN AMER. & CARIB    ",6822378,21040,"324,3","1,46","-3,74","25,1",4800,"80,2","142,4","31,85","12,07","56,08","2","26,61","5,78","0,099","0,302","0,599"
"38","Estonia",55,32,50,6,12,45,30,83,37,41,"BALTICS                            ",1324333,45226,"29,3","8,39","-3,16","7,87",12300,"99,8","333,8","16,04","0,45","83,51","3","10,04","13,25","0,04","0,294","0,666"
"39","Ethiopia",134,38,100,74,119,106,53,99,135,115,"SUB-SAHARAN AFRICA                 ",74777981,1127127,"66,3","0,00","0","95,32",700,"42,7","8,2","10,71","0,75","88,54","2","37,98","14,86","0,475","0,099","0,426"
"40","Finland",1,4,41,10,2,5,4,47,22,27,"WESTERN EUROPE                     ",5231372,338145,"15,5","0,37","0,95","3,57",27400,"100,0","405,3","7,19","0,03","92,78","3","10,45","9,86","0,028","0,295","0,676"
"41","France",24,19,56,66,32,69,21,68,25,5,"WESTERN EUROPE                     ",60876136,547030,"111,3","0,63","0,66","4,26",27600,"99,0","586,4","33,53","2,07","64,4","4","11,99","9,14","0,022","0,214","0,764"
"42","Gabon",104,105,111,144,95,119,103,143,59,108,"SUB-SAHARAN AFRICA                 ",1424906,267667,"5,3","0,33","0","53,64",5500,"63,2","27,4","1,26","0,66","98,08","2","36,16","12,25","0,061","0,592","0,348"
"43","Gambia",120,142,29,109,125,89,26,64,139,130,"SUB-SAHARAN AFRICA                 ",1641564,11300,"145,3","0,71","1,57","72,02",1700,"40,1","26,8","25","0,5","74,5","2","39,37","12,25","0,308","0,142","0,549"
"44","Georgia",119,51,141,43,147,104,28,153,87,84,"C.W. OF IND. STATES ",4661473,69700,"66,9","0,44","-4,7","18,59",2500,"99,0","146,6","11,44","3,86","84,7","3","10,41","9,23","0,172","0,275","0,553"
"45","Germany",17,17,65,30,39,44,17,19,17,25,"WESTERN EUROPE                     ",82422299,357021,"230,9","0,67","2,18","4,16",27600,"99,0","667,9","33,85","0,59","65,56","3","8,25","10,62","0,009","0,296","0,695"
"46","Ghana",98,129,92,72,132,91,117,52,114,121,"SUB-SAHARAN AFRICA                 ",22409572,239460,"93,6","0,23","-0,64","51,43",2200,"74,8","14,4","16,26","9,67","74,07","2","30,52","9,72","0,366","0,246","0,387"
"47","Greece",82,87,102,94,102,150,123,152,46,21,"WESTERN EUROPE                     ",10688058,131940,"81,0","10,37","2,35","5,53",20000,"97,5","589,7","21,1","8,78","70,12","3","9,68","10,24","0,054","0,213","0,733"
"48","Guatemala",27,136,8,85,78,25,82,78,99,85,"LATIN AMER. & CARIB    ",12293545,108890,"112,9","0,37","-1,67","35,93",4100,"70,6","92,1","12,54","5,03","82,43","2","29,88","5,2","0,227","0,188","0,585"
"49","Guinea",118,146,82,143,136,109,70,94,130,137,"SUB-SAHARAN AFRICA                 ",9690222,245857,"39,4","0,13","-3,06","90,37",2100,"35,9","2,7","3,63","2,58","93,79","2","41,76","15,48","0,237","0,362","0,401"
"50","Haiti",147,111,142,119,146,152,48,20,138,125,"LATIN AMER. & CARIB    ",8308504,27750,"299,4","6,38","-3,4","73,45",1600,"52,9","16,9","28,3","11,61","60,09","2","36,44","12,17","0,28","0,2","0,52"
"51","Honduras",59,151,13,73,84,39,79,51,113,57,"LATIN AMER. & CARIB    ",7326496,112090,"65,4","0,73","-1,99","29,32",2600,"76,2","67,5","9,55","3,22","87,23","2","28,24","5,28","0,139","0,312","0,549"
"52","Hong Kong",76,33,105,28,76,66,14,18,9,0,"ASIA (EX. NEAR EAST)         ",6940432,1092,"6355,7","67,12","5,24","2,97",28800,"93,5","546,7","5,05","1,01","93,94","2","7,29","6,29","0,001","0,092","0,906"
"53","Hungary",62,36,86,31,51,138,140,100,42,56,"EASTERN EUROPE                     ",9981334,93030,"107,3","0,00","0,86","8,57",13900,"99,4","336,2","50,09","2,06","47,85","3","9,72","13,11","0,037","0,312","0,651"
"54","Iceland",4,9,3,3,1,7,45,3,15,13,"WESTERN EUROPE                     ",299388,103000,"2,9","4,83","2,38","3,31",30900,"99,9","647,7","0,07","0","99,93","3","13,64","6,72","0,086","0,15","0,765"
"55","India",140,41,93,115,142,41,73,65,103,105,"ASIA (EX. NEAR EAST)         ",1095351995,3287590,"333,2","0,21","-0,07","56,29",2900,"59,5","45,4","54,4","2,74","42,86","3","22,01","8,18","0,186","0,276","0,538"
"56","Indonesia",92,108,9,104,94,48,129,2,83,98,"ASIA (EX. NEAR EAST)         ",245452739,1919440,"127,9","2,85","0","35,6",3200,"87,9","52,0","11,32","7,23","81,45","2","20,34","6,25","0,134","0,458","0,408"
